编号,题干,A,B,C,D,答案,分值,启用,解析
ch4-q1,"If $f$ is analytic and non‑constant in a domain $D$, then $|f(z)|$ cannot attain a maximum in the interior of $D$.",TRUE,FALSE,,,A,1,是,Maximum Modulus Principle.
ch4-q2,"Let $C$ be the positively oriented circle $|z|=2$. Then $\displaystyle \int_C \frac{z}{z^2-1}\,dz = 2\pi i$.",TRUE,FALSE,,,A,1,是,Residues at $\pm1$ sum to $1$.
ch4-q3,"If $f$ is analytic at $z_0$, then all its derivatives exist and are analytic at $z_0$.",TRUE,FALSE,,,A,1,是,Property of analytic functions.
ch4-q4,"Let $C$ be the positively oriented unit circle. Then $\displaystyle \int_C \frac{\cos z}{z^4}\,dz = -\frac{\pi i}{3}$.",TRUE,FALSE,,,B,1,是,"The third derivative of $\cos z$ at $0$ is $0$, so the integral is $0$."
ch4-q5,"If $f$ is analytic in a domain $D$ and $C\subset D$ is a closed curve, then $\displaystyle \int_C f'(z)\,dz = 0$.",TRUE,FALSE,,,A,1,是,$f$ is a primitive of $f'$.
ch4-q6,"Suppose $\displaystyle \lim_{R\to\infty} R\cdot \max_{|z|=R}|f(z)| = 0$. Then $\displaystyle \lim_{R\to\infty} \int_{|z|=R} f(z)\,dz = 0$.",TRUE,FALSE,,,A,1,是,Follows from the ML‑inequality.
ch4-q7,"Let $C$ be the composite contour consisting of the positively oriented circle $|z|=3$ and the negatively oriented circle $|z|=1$. Then $\displaystyle \int_C \frac{1}{z}\,dz = 0$.",TRUE,FALSE,,,A,1,是,The two contributions cancel.
ch4-q8,"Let $f$ be analytic in $|z|<2$ with $f(0)=1$. Then $\displaystyle \int_{|z|=1} \frac{f(z)}{z^2}\,dz = 2\pi i f'(0)$.",TRUE,FALSE,,,A,1,是,Cauchy Integral Formula for derivatives.
ch4-q9,"If $f$ is analytic and nowhere zero in a domain $D$, then $1/f$ is also analytic in $D$.",TRUE,FALSE,,,A,1,是,Quotient of analytic functions.
ch4-q10,"Let $C$ be the positively oriented circle $|z|=2$. Then $\displaystyle \int_C \frac{e^{iz}}{z^2+1}\,dz = 0$.",TRUE,FALSE,,,B,1,是,The residues at $\pm i$ give a non‑zero sum; the integral equals $\pi(e^{-1}-e^{1})$.
