编号,题干,A,B,C,D,答案,分值,启用,解析
ch5-q1,The convergence of the real and imaginary parts of a complex series separately is a necessary but not sufficient condition for the convergence of the series itself.,True,False,,,B,1,是,This is actually a necessary and sufficient condition: a complex series converges if and only if both its real and imaginary parts converge.
ch5-q2,"If the power series $\sum_{n=0}^\infty a_n (z-z_0)^n$ converges conditionally at a point $z_1\neq z_0$, then $z_1$ must lie on the circle of convergence.",True,False,,,A,1,是,Power series converge absolutely inside the circle of convergence and diverge outside; conditional convergence can only occur on the boundary.
ch5-q3,The Taylor series of an entire function about any point always has an infinite radius of convergence.,True,False,,,A,1,是,"Entire functions are analytic on the whole complex plane, so their Taylor expansions converge everywhere."
ch5-q4,The Laurent expansion of $f(z)=\frac{1}{z}$ about $z_0=0$ contains a $z^{-2}$ term.,True,False,,,B,1,是,$f(z)=1/z$ is already its own Laurent expansion; it contains a $z^{-1}$ term but no $z^{-2}$ term.
ch5-q5,"If the power series $\sum_{n=0}^\infty a_n z^n$ has convergence radius $R$, then it converges absolutely for all $z$ satisfying $|z|<R$.",True,False,,,A,1,是,Absolute convergence holds throughout the interior of the disk of convergence.
ch5-q6,"A function's Laurent expansion in a fixed annulus is unique, but different annuli may yield different Laurent expansions.",True,False,,,A,1,是,Uniqueness holds within a given annulus; different annuli generally lead to different expansions.
ch5-q7,"If $f(z)$ is analytic in $|z-z_0|<R$, then its Taylor coefficients $a_n$ coincide with those given by the Laurent coefficient formula.",True,False,,,A,1,是,"Inside a disk, the Laurent coefficient integral reduces to the Cauchy integral formula for Taylor coefficients."
ch5-q8,"A power series converges uniformly on every compact subset of its disk of convergence, and its sum is continuous there.",True,False,,,A,1,是,"Power series converge uniformly on compact subsets inside the disk of convergence, which preserves continuity of the limit function."
ch5-q9,"In the Laurent expansion of $f(z)=e^{1/z}$ about $z_0=0$, all positive-power coefficients are zero.",True,False,,,A,1,是,$e^{1/z}=\sum_{n=0}^\infty \frac{1}{n!}z^{-n}$ contains the constant term and negative powers only; all positive-power coefficients are zero.
ch5-q10,"If $\lim_{n\to\infty}\sqrt[n]{|a_n|}=1$, then the power series $\sum_{n=0}^\infty a_n z^n$ has convergence radius $R=1$.",True,False,,,A,1,是,"By the Cauchy–Hadamard formula, $R=1/\limsup\sqrt[n]{|a_n|}=1$."
