编号,题干,A,B,C,D,答案,分值,启用,解析
ch5-q11,"Inside the disk of convergence of a nonzero-radius power series, term-by-term differentiation and integration are valid, and the resulting power series has the same radius of convergence.",True,False,,,A,1,是,Differentiation and integration may be performed term by term inside the disk of convergence; the differentiated and integrated series have the same radius of convergence.
ch5-q12,"If $f(z)$ is analytic in the annulus $R_1<|z-z_0|<R_2$, then the nonnegative-power part of its Laurent expansion converges for $|z-z_0|<R_2$, and the negative-power part converges for $|z-z_0|>R_1$.",True,False,,,A,1,是,"The nonnegative powers form a standard power series, while the negative powers form a power series in $(z-z_0)^{-1}$."
ch5-q13,"The Taylor expansion of $\sin z$ about $z=0$ is valid for all complex $z$, so $\sin z$ is an entire function.",True,False,,,A,1,是,"Its Maclaurin series has infinite radius of convergence, hence $\sin z$ is entire."
ch5-q14,"If $\sum_{n=0}^\infty |z_n|$ converges, then $\sum_{n=0}^\infty z_n$ converges; conversely, if $\sum_{n=0}^\infty z_n$ converges, then $\sum_{n=0}^\infty |z_n|$ also converges.",True,False,,,B,1,是,"Absolute convergence implies convergence, but not vice versa (e.g., alternating harmonic series)."
ch5-q15,The Laurent expansion of $f(z)=\frac{1}{(z-1)(z-2)}$ in the annulus $1<|z|<2$ contains both positive and negative powers of $z$.,True,False,,,A,1,是,"In this annulus, the partial-fraction term involving $1/(z-1)$ expands in negative powers of $z$, while the term involving $1/(z-2)$ expands in nonnegative powers of $z$."
ch5-q16,"If two power series $\sum_{n=0}^\infty a_n z^n$ and $\sum_{n=0}^\infty b_n z^n$ agree in a neighborhood of $z=0$, then $a_n=b_n$ for all $n\ge 0$.",True,False,,,A,1,是,Power series expansions are unique: equality in a neighborhood forces all coefficients to match.
ch5-q17,"The power series $\sum_{n=0}^\infty n!\,z^n$ has radius of convergence $0$, meaning it converges only at $z=0$.",True,False,,,A,1,是,"Ratio or root tests give $R=0$, so convergence occurs only at the center."
ch5-q18,The function $f(z)=\frac{\sin z}{z}$ (with $f(0)=1$ defined by continuity) has a Taylor expansion with no negative powers and is entire.,True,False,,,A,1,是,"After removing the singularity at $0$, $f$ is entire and its expansion contains only nonnegative powers."
ch5-q19,The Laurent coefficients $c_n$ are determined solely by the contour integral around the singularity and do not depend on the expansion center $z_0$.,True,False,,,B,1,是,$c_n=\frac{1}{2\pi i}\int_C \frac{f(z)}{(z-z_0)^{n+1}}dz$ explicitly depends on the center $z_0$.
ch5-q20,"If the power series $\sum_{n=0}^\infty a_n (z-1)^n$ converges at $z=3$, then it converges absolutely at $z=2$.",True,False,,,A,1,是,"Convergence at $|z-1|=2$ implies $R\ge 2$, so $z=2$ ($|z-1|=1$) lies inside the disk of absolute convergence."
