编号,题干,A,B,C,D,答案,分值,启用,解析
ch6-q11,"For a rational function $R(z)=P(z)/Q(z)$, if $Q$ has a simple zero at $z_0$ and $P(z_0) \neq 0$, then $\mathrm{Res}_{z=z_0} R(z) = P(z_0)/Q'(z_0)$.",True,False,,,A,1,是,This is the standard formula for residues at simple poles of rational functions.
ch6-q12,"When evaluating $\int_0^{2\pi} \frac{d\theta}{2+\sin\theta}$ via $z=e^{i\theta}$, all singularities of the transformed integrand lie inside the unit circle $|z|=1$.",True,False,,,B,1,是,The transformed integrand has singularities at $z = -2i \pm i\sqrt{3}$; only $z = -2i + i\sqrt{3}$ (with $|z|<1$) lies inside the unit circle.
ch6-q13,"For the integral $\int_{-\infty}^\infty \frac{x^2}{x^4+1} \, dx$, since the integrand is even, the result equals $\pi i$ times the sum of residues in the upper half-plane.",True,False,,,B,1,是,The statement is false: the full real-line contour integral equals $2\pi i \sum \mathrm{Res}$ in the upper half-plane; $\pi i \sum \mathrm{Res}$ corresponds to the half-line integral $\int_0^\infty$ when the integrand is even.
ch6-q14,"To compute $\int_{-\infty}^\infty \frac{\cos x}{1+x^2} \, dx$, one should take the real part of $2\pi i$ times the sum of residues of $e^{iz}/(1+z^2)$ in the upper half-plane.",True,False,,,A,1,是,"This is the standard Type 3 contour integration method: $\cos x = \mathrm{Re}(e^{ix})$, compute the complex integral and take the real part."
ch6-q15,All rational functions are meromorphic functions since their only singularities are poles.,True,False,,,A,1,是,Meromorphic functions are analytic except for poles; rational functions $P(z)/Q(z)$ have poles exactly at zeros of $Q(z)$.
ch6-q16,"The Argument Principle states that $\frac{1}{2\pi} \Delta_C \arg f(z)$ equals the number of zeros minus the number of poles inside $C$, counting multiplicities.",True,False,,,A,1,是,This is the core statement of the Argument Principle: $Z - P = \frac{1}{2\pi} \Delta_C \arg f(z)$.
ch6-q17,"If $f$ is analytic inside and on a simple closed contour $C$, with no zeros on $C$, then $\Delta_C \arg f(z) = 0$ implies $f$ has no zeros inside $C$.",True,False,,,A,1,是,"$\Delta_C \arg f(z) = 0$ means $Z - P = 0$. Since $f$ is analytic (no poles), $P=0$, so $Z=0$, i.e., no zeros inside $C$."
ch6-q18,Rouché's Theorem requires $|f(z)| > |g(z)|$ on $C$; then $f(z)$ and $f(z)+g(z)$ have the same number of zeros inside $C$.,True,False,,,A,1,是,This is the standard statement of Rouché's Theorem for counting zeros.
ch6-q19,"The equation $z^7 - 4z^3 + z - 1 = 0$ has exactly 3 roots inside $|z|=1$, verified by taking $f(z) = -4z^3$ and $g(z) = z^7 + z - 1$.",True,False,,,A,1,是,"On $|z|=1$, $|f(z)| = 4$ and $|g(z)| \leq 1+1+1 = 3 < 4$, so by Rouché's Theorem, $f+g$ has the same number of zeros as $f$, which is 3 (counting multiplicity)."
ch6-q20,"If $z_0$ is a zero of order $m$ of $f(z)$, then it is a pole of order $m$ of $1/f(z)$, provided $f$ is analytic at $z_0$.",True,False,,,A,1,是,"If $f(z) = (z-z_0)^m \phi(z)$ with $\phi(z_0) \neq 0$, then $1/f(z) = (z-z_0)^{-m} \cdot 1/\phi(z)$, which has a pole of order $m$ at $z_0$."
