编号,题干,A,B,C,D,答案,分值,启用,解析
ch6-q1,If $z_0$ is a removable singular point of $f(z)$ then $f(z)$ must be bounded in some deleted neighborhood of $z_0$.,True,False,,,A,1,是,A removable singularity is equivalent to the function being bounded in a deleted neighborhood; the limit $\lim_{z\to z_0}f(z)$ exists and is finite.
ch6-q2,The function $f(z) = \frac{1-\cos z}{z^2}$ has a pole of order 2 at $z=0$ because its Laurent expansion has no negative-power terms.,True,False,,,B,1,是,The absence of negative-power terms means $z=0$ is a removable singularity (not a pole). In fact $f(0)$ can be defined as $1/2$ to make $f$ analytic at $0$.
ch6-q3,For an essential singularity $z_0$ the limit $\lim_{z \to z_0} f(z)$ does not exist in the extended complex plane (neither finite nor infinite).,True,False,,,A,1,是,"For an isolated singularity, a finite limit corresponds to a removable singularity and an infinite limit corresponds to a pole; an essential singularity has no limit even in the extended complex plane."
ch6-q4,"Picard's Great Theorem states that in any neighborhood of an essential singularity, $f(z)$ takes every finite complex value infinitely often with no exceptions.",True,False,,,B,1,是,"Picard's Great Theorem allows at most one exceptional finite value; for example, $e^{1/z}$ never attains $0$ in any punctured neighborhood of $0$."
ch6-q5,If $z_0$ is a pole of order $m$ of $f(z)$ then $\lim_{z \to z_0} (z - z_0)^m f(z)$ exists and is non-zero.,True,False,,,A,1,是,"This is an equivalent characterization of a pole of order $m$: $f(z)=\phi(z)/(z-z_0)^m$ with $\phi(z_0)\neq 0$, so the limit equals $\phi(z_0)\neq 0$."
ch6-q6,The residue of a function at an isolated singularity is always a real number.,True,False,,,B,1,是,"Residues are coefficients of $(z-z_0)^{-1}$ in Laurent expansions and can be complex; for example, $\mathrm{Res}_{z=0}\, i/z = i$."
ch6-q7,"The Cauchy Residue Theorem requires the singularities inside the contour $C$ to be finitely many isolated singularities, with no singularities on $C$.",True,False,,,A,1,是,The theorem applies when $f$ is analytic on and inside $C$ except for finitely many isolated singularities in the interior.
ch6-q8,"If $f$ is analytic for $|z| > R$, then for any $\rho>R$ the residue at infinity satisfies $\mathrm{Res}_{z=\infty} f(z) = -\frac{1}{2\pi i} \oint_{|z|=\rho} f(z) \, dz$ (counterclockwise orientation).",True,False,,,A,1,是,"The contour must lie in the domain of analyticity. With counterclockwise orientation, $\mathrm{Res}_{z=\infty} f(z) = -\frac{1}{2\pi i} \oint_{|z|=\rho} f(z) \, dz$ for any sufficiently large $\rho$."
ch6-q9,"Since $z=0$ is a zero of order 2 of $f(z)=z(e^z-1)$, it is a pole of order 2 of $g(z)=1/[z(e^z-1)]$.",True,False,,,A,1,是,Zeros and poles are inverses: if $f$ has an $m$-th order zero at $z_0$ then $1/f$ has an $m$-th order pole there.
ch6-q10,"If $f(z)$ and $g(z)$ are both analytic at $z_0$, with $f(z_0)=0$ and $g(z_0) \neq 0$, then $z_0$ must be a simple pole of $g(z)/f(z)$.",True,False,,,B,1,是,"This is guaranteed only if $f$ has a simple zero at $z_0$. If $f$ has a higher-order zero, then $g/f$ has a pole of that higher order."
