编号,题干,A,B,C,D,答案,分值,启用,解析
ch4-q1,"Let $w(t)=e^{it}$. Then $\displaystyle \int_0^{2\pi} w(t)\,dt = 0$.",正确,错误,,,A,1,是,Standard example.
ch4-q2,"If $f$ is analytic in a simply connected domain $D$, then for every closed curve $C\subset D$, $\displaystyle \int_C f(z)\,dz = 0$.",正确,错误,,,A,1,是,Cauchy Integral Theorem.
ch4-q3,"Let $C$ be the positively oriented circle $|z|=2$. Then $\displaystyle \int_C \frac{e^z}{z}\,dz = 2\pi i$.",正确,错误,,,A,1,是,Cauchy Integral Formula with $z_0=0$.
ch4-q4,"Let $C$ be the positively oriented unit circle. Then $\displaystyle \int_C \frac{\sin z}{z^2}\,dz = 0$.",正确,错误,,,B,1,是,The correct value is $2\pi i$ because $\sin'(0)=1$.
ch4-q5,"If $f$ is continuous in a domain $D$ and $\displaystyle \int_C f(z)\,dz = 0$ for every simple closed curve $C\subset D$, then $f$ is analytic in $D$.",正确,错误,,,A,1,是,Morera's Theorem.
ch4-q6,"Let $C$ be the positively oriented circle $|z|=2$. Then $\displaystyle \int_C \frac{z^3}{(z-1)^2}\,dz = 2\pi i$.",正确,错误,,,B,1,是,"By the derivative formula, the integral equals $2\pi i\cdot 3\cdot 1^2 = 6\pi i$."
ch4-q7,"If $f$ is entire and bounded, then $f$ is constant.",正确,错误,,,A,1,是,Liouville's Theorem.
ch4-q8,Every non‑constant polynomial with complex coefficients has at least one zero.,正确,错误,,,A,1,是,Fundamental Theorem of Algebra.
ch4-q9,"Let $C$ be the positively oriented circle $|z|=R$ and suppose $|f(z)|\le M$ for all $z\in C$. Then $\displaystyle \left|\int_C f(z)\,dz\right| \le 2\pi R M$.",正确,错误,,,A,1,是,"ML‑inequality, length $=2\pi R$."
ch4-q10,"Let $C$ be the positively oriented unit circle. Then $\displaystyle \int_C \frac{e^z}{z^n}\,dz = \frac{2\pi i}{(n-1)!}$ for every positive integer $n$.",正确,错误,,,A,1,是,Derivative formula: $e^{(n-1)}(0)=1$.
